iter	Passed	Remaining
400	23059	91948
401	23070	91706
402	23137	91688
403	23196	91638
404	23252	91574
405	23324	91572
406	23405	91611
407	23435	91445
408	23523	91505
409	23555	91350
410	23655	91458
411	23744	91521
412	23835	91589
413	23946	91735
414	23983	91600
415	24023	91472
416	24093	91462
417	24176	91501
418	24225	91409
419	24286	91364
420	24346	91312
421	24445	91409
422	24594	91691
423	24621	91517
424	24690	91499
425	24746	91432
426	24839	91503
427	24956	91660
428	25023	91634
429	25096	91630
430	25181	91670
431	25204	91484
432	25245	91361
433	25326	91384
434	25346	91188
435	25408	91143
436	25478	91126
437	25560	91152
438	25632	91145
439	25687	91072
440	25717	90916
441	25786	90894
442	25852	90861
443	25908	90797
444	25984	90800
445	26060	90801
446	26134	90799
447	26183	90706
448	26253	90689
449	26323	90671
450	26388	90634
451	26460	90621
452	26520	90566
453	26593	90559
454	26673	90574
455	26705	90424
456	26767	90376
457	26825	90318
458	26885	90262
459	26953	90236
460	27024	90217
461	27083	90162
462	27136	90084
463	27203	90054
464	27268	90014
465	27329	89963
466	27392	89919
467	27452	89867
468	27511	89809
469	27583	89793
470	27647	89750
471	27701	89677
472	27763	89628
473	27822	89573
474	27885	89528
475	27944	89470
476	28004	89415
477	28069	89375
478	28120	89291
479	28175	89222
480	28240	89184
481	28292	89103
482	28345	89028
483	28397	88947
484	28457	88892
485	28512	88822
486	28572	88768
487	28632	88713
488	28752	88844
489	28820	88812
490	28888	88782
491	28963	88773
492	29048	88794
493	29122	88781
494	29192	88757
495	29261	88729
496	29322	88676
497	29393	88651
498	29453	88596
499	29514	88542
500	29574	88488
501	29649	88476
502	29703	88403
503	29763	88346
504	29816	88268
505	29870	88193
506	29927	88128
507	29984	88065
508	30040	87997
509	30096	87927
510	30156	87873
511	30219	87825
512	30278	87765
513	30344	87728
514	30405	87673
515	30471	87635
516	30527	87567
517	30587	87511
518	30644	87445
519	30706	87396
520	30760	87321
521	30818	87260
522	30874	87193
523	30924	87106
524	30977	87032
525	31034	86967
526	31087	86890
527	31144	86826
528	31194	86744
